"Robo Army";"aescdmvs";"31600";"http://i43.tinypic.com/28atapw.jpg";"(stage 3)"

"Sengoku / Sengoku Denshou";"wyoui";"80600";"http://img42.imageshack.us/img42/512/1002689ze.jpg";"(stage 2)";","
"Sengoku / Sengoku Denshou";"Twilight_Guardian";"79300";"http://img5.imageshack.us/img5/4346/img98052.jpg";"(stage 2)";","
"Sengoku / Sengoku Denshou";"Redemslug";"35300";"http://img163.imageshack.us/img163/8067/sengokui.jpg";"(stage 1 - boss)"

"Sengoku 2 / Sengoku Denshou 2";"NeoJin";"115200";"http://img707.imageshack.us/img707/9459/sengoku2score.jpg";"(stage 2)";","
"Sengoku 2 / Sengoku Denshou 2";"juanito1979";"111400";"http://img188.imageshack.us/img188/6392/p7080745.jpg";"(stage 2)";","
"Sengoku 2 / Sengoku Denshou 2";"Redemslug";"108800";"http://img97.imageshack.us/img97/4318/sengokuii.jpg";"(stage 2)";","
"Sengoku 2 / Sengoku Denshou 2";"Mpower";"100300";"http://valou.ludo.free.fr/NEO/Sengoku2.JPG";"(stage 2)";","
"Sengoku 2 / Sengoku Denshou 2";"aescdmvs";"77650";"http://i41.tinypic.com/335gyvk.jpg";"(stage 2)"

"Sengoku 3 / Sengoku Legends 2001";"Mpower";"464900";"http://valou.ludo.free.fr/NEO/Sengoku3_2.JPG";"(stage 3 - Italie - boss)";","
"Sengoku 3 / Sengoku Legends 2001";"Neograboss";"415400";"http://img291.imageshack.us/img291/9164/s30276pd.jpg";"(stage 2 - Japon)";","
"Sengoku 3 / Sengoku Legends 2001";"Ash";"283600";"";"(stage 2 - Japon)";","
"Sengoku 3 / Sengoku Legends 2001";"7SOUNA";"255300";"";"(stage 2 - Italie)";","
"Sengoku 3 / Sengoku Legends 2001";"NeoBob";"216400";"http://nsa25.casimages.com/img/2011/02/27//110227075826388491.jpg";"(stage 2 - Italie)";","
"Sengoku 3 / Sengoku Legends 2001";"Tormento";"204500";"";"(stage 1 - Chine - boss)"

"Spin Master / Miracle Adventure";"Auber1083";"733400";"http://img221.imageshack.us/img221/1159/topscorenomiss.jpg";"(all clear - no miss)";","
"Spin Master / Miracle Adventure";"Redemslug";"442000";"http://img51.imageshack.us/img51/5812/spinmaster.jpg";"";","
"Spin Master / Miracle Adventure";"kurush75";"430500";"http://img818.imageshack.us/img818/4552/miracleadventure.jpg";"";","
"Spin Master / Miracle Adventure";"anzymus";"265100";"http://img163.imageshack.us/img163/3357/img1205bw.jpg";""

